Date;Exchange
02.10.2019;65,0670
01.10.2019;64,6407
28.09.2019;64,4156
27.09.2019;64,2888
26.09.2019;64,1873
25.09.2019;63,7060
24.09.2019;63,9453
21.09.2019;63,8487
20.09.2019;64,2199
19.09.2019;64,4290
18.09.2019;64,1213
17.09.2019;63,8272
14.09.2019;64,4711
13.09.2019;65,1909
12.09.2019;65,4321
11.09.2019;65,4393
10.09.2019;65,5698
07.09.2019;65,9981
06.09.2019;66,0528
05.09.2019;66,5002
04.09.2019;66,9072
03.09.2019;66,6235
31.08.2019;66,4897
30.08.2019;66,7471
29.08.2019;66,4127
28.08.2019;66,2608
27.08.2019;65,9735
24.08.2019;65,6046
23.08.2019;65,6196
22.08.2019;66,2630
21.08.2019;66,7840
20.08.2019;66,6082
17.08.2019;65,9961
16.08.2019;65,8907
15.08.2019;65,2032
14.08.2019;65,6017
13.08.2019;65,4287
10.08.2019;65,2543
09.08.2019;65,1299
08.08.2019;65,0932
07.08.2019;65,2030
06.08.2019;65,0546
03.08.2019;64,6423
02.08.2019;63,8340
01.08.2019;63,4172
31.07.2019;63,3791
30.07.2019;63,5210
27.07.2019;63,1271
26.07.2019;63,1572
25.07.2019;63,1162
24.07.2019;63,1290
23.07.2019;62,9776
20.07.2019;62,8666
19.07.2019;62,8286
18.07.2019;62,9451
17.07.2019;62,8129
16.07.2019;62,8280
13.07.2019;63,0204
12.07.2019;62,9944
11.07.2019;63,7988
10.07.2019;63,7660
09.07.2019;63,8699
06.07.2019;63,5841
05.07.2019;63,4013
04.07.2019;63,4951
03.07.2019;63,2265
02.07.2019;63,0541
29.06.2019;63,0756
28.06.2019;63,0452
27.06.2019;62,8083
26.06.2019;62,5229
25.06.2019;62,9095
22.06.2019;63,1295
21.06.2019;63,3877
20.06.2019;63,9794
19.06.2019;64,3352
18.06.2019;64,3187
15.06.2019;64,4326
14.06.2019;64,6314
12.06.2019;64,5158
11.06.2019;64,7919
08.06.2019;65,0395
07.06.2019;65,2340
06.06.2019;65,1243
05.06.2019;65,1614
04.06.2019;65,5547
01.06.2019;65,3834
31.05.2019;65,0583
30.05.2019;64,9084
29.05.2019;64,5394
28.05.2019;64,4636
25.05.2019;64,6106
24.05.2019;64,4913
23.05.2019;64,4156
22.05.2019;64,5372
21.05.2019;64,4888
18.05.2019;64,6327
17.05.2019;64,5598
16.05.2019;64,8489
15.05.2019;65,3001
14.05.2019;65,4703
09.05.2019;65,2287
08.05.2019;65,2166
07.05.2019;65,3350
01.05.2019;64,6314
30.04.2019;64,6917
27.04.2019;64,7053
26.04.2019;64,6794
25.04.2019;63,9798
24.04.2019;63,7906
23.04.2019;63,7860
20.04.2019;63,9602
19.04.2019;64,0688
18.04.2019;63,9450
17.04.2019;64,2422
16.04.2019;64,2469
13.04.2019;64,5171
12.04.2019;64,3991
11.04.2019;64,7373
10.04.2019;64,7766
09.04.2019;65,3498
06.04.2019;65,4072
05.04.2019;65,3281
04.04.2019;65,1639
03.04.2019;65,4726
02.04.2019;65,4176
30.03.2019;64,7347
29.03.2019;64,8012
28.03.2019;64,5925
27.03.2019;64,1683
26.03.2019;64,4993
23.03.2019;63,7705
22.03.2019;63,7420
21.03.2019;64,2803
20.03.2019;64,3167
19.03.2019;64,6694
16.03.2019;65,4201
15.03.2019;65,4021
14.03.2019;65,5890
13.03.2019;65,7674
12.03.2019;66,0763
08.03.2019;65,9646
07.03.2019;65,8430
06.03.2019;65,8004
05.03.2019;65,7956
02.03.2019;65,8145
01.03.2019;65,8895
28.02.2019;65,7570
27.02.2019;65,6182
26.02.2019;65,2582
23.02.2019;65,5149
22.02.2019;65,5401
21.02.2019;65,8568
20.02.2019;66,2022
19.02.2019;66,2470
16.02.2019;66,7044
15.02.2019;66,5429
14.02.2019;65,6783
13.02.2019;65,7147
12.02.2019;65,6517
09.02.2019;66,0628
08.02.2019;66,0199
07.02.2019;65,6686
06.02.2019;65,5691
05.02.2019;65,5859
02.02.2019;65,6601
01.02.2019;65,3577
31.01.2019;66,0987
30.01.2019;66,3412
29.01.2019;65,9300
26.01.2019;65,9170
25.01.2019;66,0016
24.01.2019;66,3318
23.01.2019;66,5499
22.01.2019;66,3634
19.01.2019;66,3309
18.01.2019;66,4438
17.01.2019;66,7617
16.01.2019;67,0820
15.01.2019;67,1920
12.01.2019;66,9167
11.01.2019;66,8605
10.01.2019;67,0795
30.12.2018;69,4706
29.12.2018;69,5218
28.12.2018;68,8762
27.12.2018;68,8865
26.12.2018;68,7448
25.12.2018;68,4073
