iter	RMSE
0	1.777168995
1	1.742313101
2	1.709830405
3	1.677917628
4	1.647719424
5	1.61824613
6	1.590783514
7	1.561727909
8	1.534158968
9	1.507098876
10	1.47987001
11	1.455017919
12	1.430788916
13	1.407306226
14	1.384271359
15	1.362480495
16	1.339459851
17	1.317720326
18	1.296669594
19	1.27619474
20	1.256541427
21	1.23792339
22	1.220014415
23	1.202361891
24	1.185546774
25	1.169474793
26	1.153347093
27	1.13755318
28	1.122344422
29	1.108091204
30	1.093424378
31	1.07962045
32	1.06687567
33	1.053238756
34	1.041108446
35	1.028975862
36	1.015455535
37	1.0030874
38	0.9917720749
39	0.9798922813
40	0.9684592403
41	0.9587376008
42	0.9494295482
43	0.9390906113
44	0.9296721733
45	0.9208510584
46	0.911729063
47	0.9022346313
48	0.8926522669
49	0.8844856292
50	0.877271057
51	0.8685812241
52	0.8598747509
53	0.8517969241
54	0.8447475695
55	0.8373373486
56	0.8301937929
57	0.8238181941
58	0.8176913503
59	0.8107297659
60	0.8061171024
61	0.799982029
62	0.7951573236
63	0.7892954803
64	0.7830365829
65	0.7772112087
66	0.7716403803
67	0.7671367941
68	0.7616722366
69	0.7564795326
70	0.7519168647
71	0.7471473364
72	0.7427183403
73	0.7383156654
74	0.7349269743
75	0.7314407545
76	0.7274858968
77	0.7236294868
78	0.7204024017
79	0.716186453
80	0.71168677
81	0.707932157
82	0.7043329103
83	0.700683836
84	0.6979499241
85	0.6940144241
86	0.6908759538
87	0.6888659667
88	0.6860116059
89	0.6820343814
90	0.6790178198
91	0.6756093766
92	0.6729791665
93	0.6704592788
94	0.6682789424
95	0.6654214689
96	0.6635206435
97	0.6603847483
98	0.6584137607
99	0.6559465671
100	0.6536294195
101	0.650898683
102	0.6486881302
103	0.6463974062
104	0.6443474539
105	0.6428575958
106	0.6410562049
107	0.6387068671
108	0.6367867783
109	0.6343814087
110	0.6314763444
111	0.6291199849
112	0.627706084
113	0.6261189
114	0.6245102065
115	0.6226708799
116	0.6208639063
117	0.6188208855
118	0.6172169028
119	0.6157162184
120	0.6139776298
121	0.6121070178
122	0.6106514557
123	0.6086927827
124	0.6074845998
125	0.6061809828
126	0.6045379343
127	0.6027295406
128	0.6015950484
129	0.5995757997
130	0.5982625738
131	0.5969732614
132	0.595849607
133	0.594286991
134	0.5930116323
135	0.5910999211
136	0.5898633774
137	0.5878882003
138	0.5863951005
139	0.5851356212
140	0.5839882154
141	0.5820219262
142	0.5811455283
143	0.5799150674
144	0.5787113478
145	0.5778880292
146	0.5763643541
147	0.5748174383
148	0.5730281629
149	0.5719658618
150	0.5707207048
151	0.5692525759
152	0.5683580456
153	0.5669658204
154	0.565874311
155	0.5647178127
156	0.5635973748
157	0.5624831186
158	0.5617290303
159	0.5605818727
160	0.5595683013
161	0.5583565341
162	0.5575840367
163	0.5558684584
164	0.5550573642
165	0.5543968209
166	0.553628672
167	0.5527216373
168	0.5516769954
169	0.5511992976
170	0.5500637676
171	0.5487481861
172	0.5476820384
173	0.5466943139
174	0.5462856543
175	0.5454483358
176	0.5447330987
177	0.5441461172
178	0.5436792282
179	0.5431211761
180	0.5422053938
181	0.5414822597
182	0.5404528432
183	0.5397435405
184	0.5391255181
185	0.5386050582
186	0.5373178047
187	0.5364579477
188	0.5357730439
189	0.5352180927
190	0.534789475
191	0.5342109542
192	0.5328832575
193	0.5318990717
194	0.5313081519
195	0.5307149955
196	0.5303314096
197	0.5298064342
198	0.5290211212
199	0.5281853706
200	0.5276787131
201	0.5269773638
202	0.5262929134
203	0.5257720342
204	0.5250473261
205	0.524167012
206	0.5237516816
207	0.5231903096
208	0.5228243117
209	0.521804377
210	0.5207468048
211	0.519783345
212	0.5186607133
213	0.5178030481
214	0.5169263931
215	0.5161144629
216	0.5153855191
217	0.5150089636
218	0.5144230295
219	0.5134144374
220	0.51287936
221	0.512090606
222	0.5111358209
223	0.5104198792
224	0.5099218629
225	0.5089504508
226	0.508120706
227	0.5073583224
228	0.5065420061
229	0.5058386011
230	0.5048113697
231	0.5040242341
232	0.5035509367
233	0.5032712298
234	0.5025466561
235	0.5016709165
236	0.5005990556
237	0.4997595269
238	0.499491402
239	0.4989510793
240	0.4978653158
241	0.4970725683
242	0.4963245175
243	0.49594234
244	0.4954440731
245	0.4948359498
246	0.4942758527
247	0.4939858488
248	0.4935612457
249	0.4929624032
250	0.492276515
251	0.4920958933
252	0.4914639863
253	0.4911245045
254	0.4901330375
255	0.4898159438
256	0.4894227338
257	0.4891657503
258	0.4887290748
259	0.4882715527
260	0.4879423539
261	0.4876292388
262	0.4872318484
263	0.4867352664
264	0.4862444546
265	0.4857793882
266	0.4851719362
267	0.4847412034
268	0.4838644581
269	0.4834073662
270	0.4826164899
271	0.4821407462
272	0.4815187097
273	0.4806262793
274	0.4801669299
275	0.4796049202
276	0.4788921798
277	0.4783129611
278	0.4777633902
279	0.4774935788
280	0.4768151044
281	0.4764231721
282	0.4759054313
283	0.475609127
284	0.4750134891
285	0.4748171953
286	0.4740949921
287	0.4732587081
288	0.4728808021
289	0.4720626426
290	0.4712039181
291	0.4705561668
292	0.4699848119
293	0.469720273
294	0.4690439345
295	0.4685555068
296	0.4677444768
297	0.4675688641
298	0.4670936443
299	0.4664929406
