Date;Keyrate
09.01.2017;10
10.01.2017;10
11.01.2017;10
12.01.2017;10
13.01.2017;10
16.01.2017;10
17.01.2017;10
18.01.2017;10
19.01.2017;10
20.01.2017;10
23.01.2017;10
24.01.2017;10
25.01.2017;10
26.01.2017;10
27.01.2017;10
30.01.2017;10
31.01.2017;10
01.02.2017;10
02.02.2017;10
03.02.2017;10
06.02.2017;10
07.02.2017;10
08.02.2017;10
09.02.2017;10
10.02.2017;10
13.02.2017;10
14.02.2017;10
15.02.2017;10
16.02.2017;10
17.02.2017;10
20.02.2017;10
21.02.2017;10
22.02.2017;10
27.02.2017;10
28.02.2017;10
01.03.2017;10
02.03.2017;10
03.03.2017;10
06.03.2017;10
07.03.2017;10
09.03.2017;10
10.03.2017;10
13.03.2017;10
14.03.2017;10
15.03.2017;10
16.03.2017;10
17.03.2017;10
20.03.2017;10
21.03.2017;10
22.03.2017;10
23.03.2017;10
24.03.2017;10
27.03.2017;9,75
28.03.2017;9,75
29.03.2017;9,75
30.03.2017;9,75
31.03.2017;9,75
03.04.2017;9,75
04.04.2017;9,75
05.04.2017;9,75
06.04.2017;9,75
07.04.2017;9,75
10.04.2017;9,75
11.04.2017;9,75
12.04.2017;9,75
13.04.2017;9,75
14.04.2017;9,75
17.04.2017;9,75
18.04.2017;9,75
19.04.2017;9,75
20.04.2017;9,75
21.04.2017;9,75
24.04.2017;9,75
25.04.2017;9,75
26.04.2017;9,75
27.04.2017;9,75
28.04.2017;9,75
02.05.2017;9,25
03.05.2017;9,25
04.05.2017;9,25
05.05.2017;9,25
10.05.2017;9,25
11.05.2017;9,25
12.05.2017;9,25
15.05.2017;9,25
16.05.2017;9,25
17.05.2017;9,25
18.05.2017;9,25
19.05.2017;9,25
22.05.2017;9,25
23.05.2017;9,25
24.05.2017;9,25
25.05.2017;9,25
26.05.2017;9,25
29.05.2017;9,25
30.05.2017;9,25
31.05.2017;9,25
01.06.2017;9,25
02.06.2017;9,25
05.06.2017;9,25
06.06.2017;9,25
07.06.2017;9,25
08.06.2017;9,25
09.06.2017;9,25
13.06.2017;9,25
14.06.2017;9,25
15.06.2017;9,25
16.06.2017;9,25
19.06.2017;9
20.06.2017;9
21.06.2017;9
22.06.2017;9
23.06.2017;9
26.06.2017;9
27.06.2017;9
28.06.2017;9
29.06.2017;9
30.06.2017;9
03.07.2017;9
04.07.2017;9
05.07.2017;9
06.07.2017;9
07.07.2017;9
10.07.2017;9
11.07.2017;9
12.07.2017;9
13.07.2017;9
14.07.2017;9
17.07.2017;9
18.07.2017;9
19.07.2017;9
20.07.2017;9
21.07.2017;9
24.07.2017;9
25.07.2017;9
26.07.2017;9
27.07.2017;9
28.07.2017;9
31.07.2017;9
01.08.2017;9
02.08.2017;9
03.08.2017;9
04.08.2017;9
07.08.2017;9
08.08.2017;9
09.08.2017;9
10.08.2017;9
11.08.2017;9
14.08.2017;9
15.08.2017;9
16.08.2017;9
17.08.2017;9
18.08.2017;9
21.08.2017;9
22.08.2017;9
23.08.2017;9
24.08.2017;9
25.08.2017;9
28.08.2017;9
29.08.2017;9
30.08.2017;9
31.08.2017;9
01.09.2017;9
04.09.2017;9
05.09.2017;9
06.09.2017;9
07.09.2017;9
08.09.2017;9
11.09.2017;9
12.09.2017;9
13.09.2017;9
14.09.2017;9
15.09.2017;9
18.09.2017;8,5
19.09.2017;8,5
20.09.2017;8,5
21.09.2017;8,5
22.09.2017;8,5
25.09.2017;8,5
26.09.2017;8,5
27.09.2017;8,5
28.09.2017;8,5
29.09.2017;8,5
